,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,2004-01-01 00:00:00,Parking,Alquiler,Lleida,291.0,2133903.0,2004-06-19 00:00:00,Carmen
1,2004-01-01 00:00:00,Local,Venta,Girona,185.0,1945424.0,2004-04-19 00:00:00,Pedro
7,2004-01-03 00:00:00,Oficina,Venta,Girona,235.0,2158475.0,2004-10-31 00:00:00,Jesús
8,2004-01-04 00:00:00,Piso,Alquiler,Lleida,108.0,1024380.0,2004-12-28 00:00:00,Jesús
9,2004-01-04 00:00:00,Parking,Venta,Lleida,299.0,2042768.0,2004-10-06 00:00:00,Joaquín
11,2004-01-04 00:00:00,Industrial,Venta,Girona,187.0,999328.0,2004-04-05 00:00:00,Carmen
12,2004-01-04 00:00:00,Parking,Venta,Barcelona,,2937300.0,2004-11-04 00:00:00,Jesús
13,2004-01-04 00:00:00,Local,Venta,Tarragona,68.0,664700.0,2004-10-01 00:00:00,Carmen
15,2004-01-05 00:00:00,Casa,Alquiler,Girona,179.0,937960.0,2004-11-21 00:00:00,Carmen
17,2004-01-06 00:00:00,Suelo,Venta,Barcelona,283.0,1679605.0,2004-06-06 00:00:00,Carmen
19,2004-01-08 00:00:00,Oficina,Alquiler,Barcelona,148.0,1169496.0,2004-08-19 00:00:00,María
20,2004-01-09 00:00:00,Industrial,Venta,Barcelona,228.0,2020992.0,2004-06-12 00:00:00,Carmen
22,2004-01-10 00:00:00,Casa,Alquiler,Girona,183.0,1438929.0,2004-04-21 00:00:00,Luisa
24,2004-01-10 00:00:00,Oficina,Alquiler,Barcelona,124.0,1170684.0,2004-05-23 00:00:00,Jesús
27,2004-01-12 00:00:00,Casa,Alquiler,Barcelona,187.0,1660560.0,2004-06-16 00:00:00,Joaquín
29,2004-01-12 00:00:00,Local,Alquiler,Tarragona,201.0,939072.0,2004-08-04 00:00:00,Carmen
30,2004-01-13 00:00:00,Industrial,Alquiler,Barcelona,142.0,1405374.0,2004-09-24 00:00:00,Jesús
32,2004-01-15 00:00:00,Local,Alquiler,Barcelona,181.0,1504110.0,2004-07-03 00:00:00,María
33,2004-01-15 00:00:00,Casa,Venta,Barcelona,281.0,2483197.0,2004-11-01 00:00:00,María
34,2004-01-15 00:00:00,Industrial,Alquiler,Tarragona,257.0,1799771.0,2004-12-31 00:00:00,Luisa
35,2004-01-16 00:00:00,Industrial,Alquiler,Tarragona,140.0,1054340.0,2004-12-02 00:00:00,Luisa
36,2004-01-16 00:00:00,Local,Venta,Girona,229.0,1160572.0,2004-07-09 00:00:00,Pedro
37,2004-01-17 00:00:00,Suelo,Alquiler,Tarragona,300.0,1492800.0,2004-12-08 00:00:00,Joaquín
38,2004-01-18 00:00:00,Parking,Alquiler,Tarragona,215.0,1154980.0,2005-01-14 00:00:00,Joaquín
39,2004-01-18 00:00:00,Oficina,Venta,Girona,182.0,1057784.0,2004-07-22 00:00:00,Jesús
40,2004-01-18 00:00:00,Piso,Venta,Barcelona,230.0,1421860.0,2004-09-23 00:00:00,Jesús
41,2004-01-19 00:00:00,Oficina,Venta,Tarragona,168.0,1426992.0,2004-11-20 00:00:00,Jesús
43,2004-01-19 00:00:00,Casa,Venta,Girona,278.0,1537062.0,2004-12-16 00:00:00,María
44,2004-01-20 00:00:00,Oficina,Alquiler,Barcelona,287.0,2851058.0,2005-01-02 00:00:00,Joaquín
45,2004-01-20 00:00:00,Oficina,Alquiler,Lleida,224.0,1294048.0,2004-10-29 00:00:00,Carmen
47,2004-01-20 00:00:00,Industrial,Venta,Barcelona,284.0,1457488.0,2004-07-06 00:00:00,Jesús
49,2004-01-20 00:00:00,Local,Alquiler,Tarragona,235.0,957625.0,2004-11-13 00:00:00,Carmen
51,2004-01-22 00:00:00,Local,Alquiler,Lleida,206.0,1605564.0,2004-09-26 00:00:00,María
